Hugo_Symbol	Entrez_Gene_Id	Patient_example_TD
C6orf62	81688	1
LINC02828	105374978	1
GMNN	51053	1
ARMH2	101928603	1
RIPOR2	9750	1
MTCO2P33	107075197	1
PPIAP29	134997	1
ASS1P1	442167	1
RN7SL334P	106480502	1
CMAHP	8418	1
KATNBL1P5	100420841	1
CARMIL1	55604	1
RNU6-987P	106480002	1
SCGN	10590	1
PRELID1P2	100419971	1
H2AC1	221613	1
H2BC1	255626	1
H2BC2P	100288742	1
H2AC2P	387319	1
SLC17A4	10050	1
SLC17A1	6568	1
SLC17A3	10786	1
H2AC3P	85303	1
H2BP5	115482690	1
SLC17A2	10246	1
TRIM38	10475	1
H3P26	10338	1
H1-1	3024	1
H3C1	8350	1
H4C1	8359	1
H4C2	8366	1
H3C2	8358	1
H2AC4	8335	1
H2BC3	3018	1
H2AC5P	10341	1
H3C3	8352	1
H1-2	3006	1
HFE	3077	1
H4C3	8364	1
H1-6	3010	1
H2BC4	8347	1
H2AC6	8334	1
H1-4	3008	1
H2BC5	3017	1
LARP1P1	100379623	1
H2BC6	8344	1
H4C4	8360	1
H1-12P	387325	1
H3C4	8351	1
H2AC7	3013	1
H2BC7	8343	1
H4C5	8367	1
H2BC8	8339	1
H2AC8	3012	1
H3C5P	115482688	1
H3C6	8353	1
H2AC9P	387323	1
H1-3	3007	1
H4C6	8361	1
H4C7	8369	1
H3C7	8968	1
H2BC9	8345	1
H3C8	8355	1
H2AC10P	8333	1
H2BC10	8346	1
H4C8	8365	1
H3C9P	100289545	1
BTN3A2	11118	1
BTN2A2	10385	1
BTN3A1	11119	1
BTN2A3P	54718	1
BTN3A3	10384	1
BTN2A1	11120	1
BTN1A1	696	1
RNU6-502P	106481899	1
HCG11	493812	1
HMGN4	10473	1
ABT1	29777	1
ZNF322	79692	1
GUSBP2	387036	1
POM121L6P	729392	1
LINC00240	100133205	1
VN1R12P	387321	1
VN1R13P	387322	1
VN1R11P	387317	1
RNU2-62P	106480224	1
H2BC11	8970	1
H2AC11	8969	1
H4C9	8294	1
H2BC12	85236	1
H2AC12	85235	1
MIR3143	100422934	1
RPL10P2	442171	1
PRSS16	10279	1
POM121L2	94026	1
VN1R10P	387316	1
ZNF204P	7754	1
ZNF391	346157	1
MCFD2P1	645927	1
ZNF184	7738	1
HNRNPA1P1	645950	1
CD83P1	100128240	1
RNU6-471P	106479774	1
GPR89P	394254	1
RSL24D1P1	100129755	2
H4C10P	10337	2
H2BC13	8340	2
H2AC13	8329	2
H3C10	8357	2
H2AC14	8331	2
H2BC14	8342	2
H4C11	8363	2
H4C12	8362	2
H2BC15	8341	2
H2AC15	8330	2
H2BC16P	10340	1
H2AC16	8332	1
H1-5	3009	1
H3C11	8354	1
H4C13	8368	1
H3C12	8356	1
H2AC17	8336	1
H2BC17	8348	1
RNU7-26P	100147813	1
OR2B2	81697	1
OR2W6P	81406	1
OR2B6	26212	1
RPLP2P1	442175	1
OR2W4P	81407	1
IQCB2P	340192	1
ZSCAN16-AS1	100129195	1
OR2W2P	81694	1
OR2B7P	81695	1
OR2B8P	65944	1
OR1F12	442179	1
ZNF165	7718	1
ZSCAN12P1	221584	1
ZNF602P	100419608	1
ZSCAN16	80345	1
ZKSCAN8	7745	1
ZNF192P1	651302	1
ZNF603P	493821	1
ZNF192P2	222701	1
TOB2P1	222699	1
ZSCAN9	7746	1
ZKSCAN4	387032	1
NKAPL	222698	1
ZSCAN26	7741	1
PGBD1	84547	1
ZSCAN31	64288	1
ZKSCAN3	80317	1
ZSCAN12	9753	1
RNU2-45P	106480217	1
ZSCAN23	222696	1
COX11P1	140468	1
OR2E1P	26719	1
GPX6	257202	1
GPX5	2880	1
ZBED9	114821	1
LINC00533	387055	1
RPSAP2	442181	1
NOP56P1	646192	1
LINC01623	401242	1
RPL13P	387044	1
ZNF90P2	100419606	1
HCG14	414760	1
TRIM27	5987	1
RNU6-930P	106480622	1
LINC01556	729583	1
KRT18P1	3879	1
RN7SL471P	106481051	1
HCG15	414761	1
ZNF311	282890	1
OR2AD1P	79313	1
OR2W1	26692	1
OR2P1P	442183	1
SAR1AP1	646260	1
OR2B3	442184	1
OR2J1	442185	1
OR2J3	442186	1
OR2J2	26707	1
